station,start_date,end_date,station_latitude,station_longitude,station_name,country,n_mag,e_mag,d_mag
608,2006-06-04,2007-06-04,33.8187,-117.5648,Corona,USA,ANT4,ANT4,ANT4
607,2007-10-11,2008-10-11,34.0724,-117.0182,Yucaipa,USA,ANT4,ANT4,ANT4
707,2011-06-11,2011-09-03,23.1981807,121.2932762,Fuli,Taiwan,ANT4,ANT4,ANT4
880,2012-05-31,2012-05-28,33.1826155,-115.613021,Calipatria,USA,QFIDO3,QFIDO3,QFIDO3
869,2012-05-24,2012-12-11,33.5875794,-116.6653553,Anza 2,USA,QFIDO3,QFIDO3,QFIDO3
808,2012-02-17,2012-12-11,33.3180287,-116.3493578,Borrego Springs 2,USA,QFIDO2,QFIDO3,QFIDO3
840,2012-04-25,2013-04-25,23.89751,121.5507916,Dang Hwa,Taiwan,QFIDO2,QFIDO2,QFIDO2
913,2012-12-18,2013-10-14,38.9747807,-123.0681827,Hopland,USA,QFIDO3,QFIDO3,QFIDO3
932,2013-04-10,2013-05-05,40.6610706,-124.1876811,Loleta,USA,QFIDO3,QFIDO3,QFIDO3
841,2012-04-15,2013-04-15,22.739813,121.0649292,Tatung,Taiwan,QFIDO2,QFIDO2,QFIDO2
881,2012-12-29,2013-12-29,33.9218167,-117.8275194,Brea,USA,QFIDO3,QFIDO3,QFIDO3
885,2012-12-29,2013-12-29,33.9910857,-117.9915283,Hacienda Heights,USA,QFIDO3,QFIDO3,QFIDO3
888,2012-12-29,2013-12-29,34.1531869,-117.7463933,LaVerne,USA,QFIDO3,QFIDO3,QFIDO3
938,2013-05-28,2013-12-29,34.1627775,-117.988263,Monrovia,USA,QFIDO3,QFIDO3,QFIDO3
809,2013-05-26,2014-05-26,38.167553,-122.5092267,Black Point,USA,QFIDO3,QFIDO3,QFIDO3
810,2013-05-26,2014-05-26,37.9574407,-122.3166206,Richmond,USA,QFIDO3,QFIDO3,QFIDO3
854,2013-05-26,2014-05-26,38.2926967,-122.5777831,East Petaluma 2,USA,ANT4,ANT4,ANT4
870,2013-05-26,2014-05-26,38.1240361,-122.110041,Benicia,USA,QFIDO3,QFIDO3,QFIDO3
871,2013-05-26,2014-05-26,38.3445276,-122.2566369,Napa Valley,USA,QFIDO3,QFIDO3,QFIDO3
965,2014-05-21,2015-01-13,23.7948972,120.932298,Sheui Li,Taiwan,QFIDO3,QFIDO3,QFIDO3
